"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"Si","No","No","No","No",510115.0
"Si","No","No","Si","No",591464.0
"No","No","No","No","No",588653.0
"Si","No","No","No","No",2398751.0
"No","Si","Si","Si","No",1140367.0
"No","Si","Si","No","No",510286.0
"Si","Si","Si","No","No",446664.0
"No","No","No","No","No",34966.0
"Si","No","No","No","No",422720.0
"No","No","No","No","No",818327.0
"No","No","No","No","No",60000.0
"No","No","Si","No","No",465469.0
"No","No","No","No","Si",1.277425E8
"No","Si","Si","No","No",3.6290924E7
"No","No","No","No","No",303652.0
"No","No","No","No","No",362520.0
"No","No","No","No","No",1.0867454E7
"Si","No","No","No","No",4013154.0
"No","No","No","No","No",1.1E7
"Si","No","No","No","No",1144605.0
"Si","No","No","No","No",5089452.0
"No","No","No","No","No",341410.0
"Si","Si","Si","No","No",2811959.0
"No","No","No","No","No",2123371.0
"Si","Si","Si","No","Si",1905154.0
"No","No","No","No","No",319893.0
"Si","No","No","No","No",573194.0
"Si","Si","Si","Si","No",747002.0
"No","No","No","No","No",882221.0
"No","No","Si","No","No",396468.0
"No","No","No","No","No",413932.0
"No","No","No","No","No",313485.0
"No","No","No","No","No",16346.0
"No","Si","Si","No","No",847347.0
"No","No","No","No","No",1.1874376E7
"No","No","Si","Si","No",509874.0
"No","No","No","No","No",220403.0
"No","No","Si","No","No",526074.0
"No","No","No","No","No",432000.0
"No","No","No","No","No",147457.0
"No","No","No","No","No",2556783.0
"No","No","Si","Si","No",291067.0
"Si","No","No","No","No",1622093.0
"Si","No","No","No","No",631921.0
"No","No","No","Si","No",593757.0
"Si","No","No","No","No",476706.0
"Si","No","No","No","No",274679.0
"No","No","No","No","No",339549.0
"No","No","No","No","No",359496.0
"No","No","No","No","No",119806.0
"Si","No","No","No","No",983078.0
"No","No","No","No","No",190000.0
"No","No","No","No","No",750000.0
"No","No","No","No","No",759710.0
"Si","No","Si","No","No",197000.0
"No","No","No","No","No",878658.0
"No","No","No","No","No",914071.0
"Si","Si","Si","Si","No",7173472.0
"No","No","No","No","No",635768.0
"No","No","No","No","No",391241.0
"No","No","No","No","No",48000.0
"No","No","No","No","No",365844.0
"Si","No","Si","No","No",452721.0
"Si","No","Si","No","No",756127.0
"No","No","No","No","No",1385662.0
"No","No","No","No","No",724311.0
